msndate,country_flying_mission,tgt_country,tgt_location,tgt_type,tgt_industry,aircraft_name,latitude,longitude
8/15/1943,usa,italy,spadafora,,,a36,38.22,15.37
2/20/1945,usa,philippine islands,puerta princesa,unidentified target,,a20,9.75,118.75
8/15/1943,usa,italy,cosenza,,,a36,39.27,16.25
8/15/1943,usa,italy,gioja tauro,,,a36,38.43,15.9
2/23/1945,usa,philippine islands,balete pass,wooded area,,a20,16.08333333,120.9166667
2/26/1945,usa,philippine islands,puerta princesa,unidentified target,,a20,9.75,118.75
3/11/1945,usa,formosa and ryukyu islands,formosa,unidentified target,,b25,24.0,121.0
3/11/1945,usa,philippine islands,caballo,unidentified target,,p47,14.33333333,120.5833333
8/15/1943,usa,italy,scilla,,,a36,38.23,15.72
8/15/1943,usa,italy,gioja tauro,,armament and ordnance plants,a36,38.43,15.9
3/20/1945,usa,french indo china,hinh dina,shipping,,b25,13.58333333,109.0
8/15/1943,great britain,germany,berlin,city area,cities towns and urban areas,light,52.53,13.42
8/15/1943,great britain,germany,berlin,city area,cities towns and urban areas,light,52.53,13.42
8/15/1943,,holland or netherlands,flushing,,air fields and airdromes,b17,51.4,3.53
8/15/1943,,holland or netherlands,flushing,,air fields and airdromes,b17,51.4,3.53
8/15/1943,,holland or netherlands,flushing,,air fields and airdromes,b17,51.4,3.53
8/15/1943,,france,amiens,airdrome,air fields and airdromes,b17,49.9,2.3
8/15/1943,,france,amiens,airdrome,air fields and airdromes,b17,49.9,2.3
8/15/1943,,france,amiens,airdrome,air fields and airdromes,b17,49.9,2.3
8/15/1943,,france,amiens,airdrome,air fields and airdromes,b17,49.9,2.3
8/15/1943,,france,amiens,airdrome,air fields and airdromes,b17,49.9,2.3
8/15/1943,,france,amiens,airdrome,air fields and airdromes,b17,49.9,2.3
8/15/1943,,holland or netherlands,flushing,,air fields and airdromes,b17,51.4,3.53
8/15/1943,,holland or netherlands,flushing,,air fields and airdromes,b17,51.4,3.53
8/15/1943,,holland or netherlands,flushing,,air fields and airdromes,b17,51.4,3.53
8/15/1943,,france,amiens,airdrome,air fields and airdromes,b17,49.9,2.3
8/15/1943,,france,amiens,airdrome,air fields and airdromes,b17,49.9,2.3
8/15/1943,,france,amiens,airdrome,air fields and airdromes,b17,49.9,2.3
8/15/1943,,holland or netherlands,flushing,,ports and harbors,b17,51.4,3.53
8/15/1943,,holland or netherlands,flushing,,ports and harbors,b17,51.4,3.53
8/15/1943,,france,vitry en artois,airdrome,air fields and airdromes,b17,50.33,2.98
8/15/1943,,france,vitry en artois,airdrome,air fields and airdromes,b17,50.33,2.98
8/15/1943,,france,vitry en artois,airdrome,air fields and airdromes,b17,50.33,2.98
8/15/1943,,france,vitry en artois,airdrome,air fields and airdromes,b17,50.33,2.98
8/15/1943,,france,vitry en artois,airdrome,air fields and airdromes,b17,50.33,2.98
8/15/1943,,france,vitry en artois,airdrome,air fields and airdromes,b17,50.33,2.98
8/15/1943,,france,merville,airdrome,air fields and airdromes,b17,50.63,2.63
8/15/1943,,france,merville,airdrome,air fields and airdromes,b17,50.63,2.63
8/15/1943,,france,merville,airdrome,air fields and airdromes,b17,50.63,2.63
8/15/1943,,france,merville,airdrome,air fields and airdromes,b17,50.63,2.63
8/15/1943,,france,merville,airdrome,air fields and airdromes,b17,50.63,2.63
8/15/1943,,france,merville,airdrome,air fields and airdromes,b17,50.63,2.63
8/15/1943,,france,lille,airdrome,air fields and airdromes,b17,50.63,3.07
8/15/1943,,france,lille,airdrome,air fields and airdromes,b17,50.63,3.07
8/15/1943,,france,lille,airdrome,air fields and airdromes,b17,50.63,3.07
